# cell_data_id, row_data_id, sheet_config_id, Submission Date, Submitted By, ExperimentID, SiteID, StrainID, SourceID, BatchID, DATETIME, Sample Time, Hours After Innoc _Batch_, Days After Innoc _Batch_, Experiment Duration _Days_, PondID, Depth _cm_, pH _manual_, Salinity _manual_, Temp _manual_, NO3 -N mg_L _1_, NO3 -N mg_L _2_, NO3 -N mg_L _3_, NO3 -N mg_L Avg, NO3 -N mg_L Stdev, NO3 -N mg_L RSD, PO4 mg P_L dup1, PO4 mg P_L dup2, PO4 - P mg _L dup3, PO4 - P mg_L Avg, PO4 mg P_L Stdev, PO4 mg P_L RSD, N_P, Analytical Sample Pulled _1 - yes_ blank-no_, Volume Pulled for Analytical Sample _L_, Analytical Sample ID, Freeze Dried Biomass for Analytical _g_, TrackingID, filter ID dup 1, filter ID dup 2, filter ID dup 3, mL filtered dup 1, mL filtered dup 2, mL filtered dup 3, filter _g_ dup 1, filter _g_ dup 2, filter _g_ dup 3, filter + biomass _g_ dup 1, filter + biomass _g_ dup 2, filter + biomass _g_ dup 3, filter + ash _g_ dup 1, filter + ash _g_ dup 2, filter + ash _g_ dup 3, biomass _g_ dup 1, biomass _g_ dup 2, biomass _g_ dup 3, ash _g_ dup 1, ash _g_ dup 2, ash _g_ dup 3, dw _g_L_ dup 1, dw _g_L_ dup 2, dw _g_L_ dup 3, Average DW _g_L_, STDEV DW, RSD DW, afdw _g_L_ dup 1, afdw _g_L_ dup 2, afdw _g_L_ dup 3, Average AFDW _g_L_, STDEV AFDW, RSD AFDW, %ASH dup 1, %ASH dup 2, %ASH dup 3, %ASH, initials, Optical Density Dilution Multiplication Factor, OD750 dup 1, OD750 dup 2, OD750 dup 3, Average OD750, OD750 %RSD, lnOD, OD750 Initials
12707, 153386, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-09-01 08:00:00, 1899-12-31 08:00:00, 998.000000000058, 41.5833333333358, 41.5833333333358, POND6, 22.7, 7.62, 0.5, 26.1, 141, , , 141, , , , , , , , , , , , , , , X20, X6, O19, 39.5, 43.5, 43.7, 1.4142, 1.4209, 1.4291, 1.4237, 1.4314, 1.4394, 1.4147, 1.4215, 1.4295, 0.00950000000000006, 0.0005, 0.0103, 0.000500000000000167, 0.0006, 0.000399999999999956, 0.240506329113926, , 0.260759493670885, 0.250632911392406, 0.0143211499987133, 5.71399419140581, 0.22784810126582, 0.250632911392406, 0.250632911392406, 0.243037974683544, 0.0131548162600186, 5.41265877365349, 5.26315789473856, , 3.88349514563065, 4.57332652018461, , 2, 0.09, 0.087, 0.091, 0.178666666666667, 1.16511156686537, -1.72223340657944, 
12704, 153383, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-29 16:00:00, 1899-12-31 16:00:00, 933.999999999942, 38.9166666666642, 38.9166666666642, POND5, 25.7, 10.56, 0.4, 32.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12705, 153384, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-29 16:00:00, 1899-12-31 16:00:00, 933.999999999942, 38.9166666666642, 38.9166666666642, POND6, 24.2, 7.82, 0.5, 33.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12706, 153385, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-09-01 08:00:00, 1899-12-31 08:00:00, 998.000000000058, 41.5833333333358, 41.5833333333358, POND5, 23.1, 7.95, 0.4, 26.2, 127, , , 127, , , , , , , , , , , , , , , Z2, 21A, O7, 16, 14, 14, 1.4171, 1.5396, 1.4209, 1.4226, 1.5444, 1.4256, 1.4173, 1.5398, 1.421, 0.00550000000000006, 0.00479999999999992, 0.00469999999999993, 0.000199999999999978, 0.000199999999999978, 9.9999999999989e-05, 0.343750000000004, 0.299999999999995, 0.293749999999995, 0.312499999999998, 0.0272431183971342, 8.71779788708299, 0.331250000000005, 0.287499999999996, 0.287499999999996, 0.302083333333332, 0.0252590742770514, 8.3616245882653, 3.6363636363632, 4.16666666666628, 2.12765957446788, 3.31022995916579, , 4, 0.221, 0.222, 0.221, 0.885333333333333, 0.0652127563090692, -0.121791057053922, 
12703, 153382, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-29 10:00:00, 1899-12-31 10:00:00, 927.999999999942, 38.6666666666642, 38.6666666666642, POND5, , , , , , , , , , , , , , , , , , , , , , , 5A, O5, Z4, 39, 36, 33.7, 1.5431, 1.426, 1.4232, 1.5511, 1.4334, 1.4301, 1.5434, 1.4263, 1.4235, 0.00800000000000001, 0.00740000000000007, 0.00689999999999991, 0.000300000000000189, 0.000299999999999967, 0.000299999999999967, 0.205128205128205, 0.189743589743592, 0.176923076923075, 0.190598290598291, 0.0141219757622733, 7.40928773177566, 0.197435897435893, 0.182051282051285, 0.169230769230768, 0.182905982905982, 0.0141219757622703, 7.7208932905871, 3.75000000000236, 4.05405405405357, 4.3478260869561, 4.05062671367068, , 4, 0.164, 0.164, 0.163, 0.654666666666667, 0.0881899596521833, -0.423629078735836, 
12702, 153381, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-29 08:00:00, 1899-12-31 08:00:00, 926.000000000058, 38.5833333333358, 38.5833333333358, POND6, 24.5, 7.81, 0.5, 25.7, 124, , , 124, , , , , , , , , , , , , , , Z7, X10, B3, 32.5, 30, 30, 1.4095, 1.429, 1.4367, 1.4183, 1.4371, 1.4449, 1.4098, 1.4293, 1.4371, 0.00879999999999992, 0.0081, 0.00819999999999999, 0.000299999999999967, 0.000299999999999967, 0.000399999999999956, 0.270769230769228, 0.249230769230769, 0.252307692307692, 0.257435897435896, 0.0116490427606147, 4.52502657035831, 0.26153846153846, 0.240000000000001, 0.240000000000001, 0.247179487179487, 0.0124352365671598, 5.03085296804182, 3.40909090909056, 3.7037037037033, 4.87804878048728, 3.99694779776038, , 4, 0.173, 0.173, 0.172, 0.690666666666667, 0.0835931856934787, -0.370097964270873, 
12700, 153379, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-28 14:30:00, 1899-12-31 14:30:00, 908.499999999942, 37.8541666666642, 37.8541666666642, POND6, 24.7, 8, 0.5, 33.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12701, 153380, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-29 08:00:00, 1899-12-31 08:00:00, 926.000000000058, 38.5833333333358, 38.5833333333358, POND5, 24.3, 8, 0.5, 25.6, 169, , , 169, , , , , , , , , , , , , , , O16, O18, X4, 20, 18, 18, 1.4264, 1.4188, 1.4234, 1.4351, 1.4269, 1.4315, 1.4268, 1.4192, 1.4238, 0.00870000000000015, 0.0081, 0.0081, 0.000400000000000178, 0.000399999999999956, 0.000399999999999956, 0.435000000000008, 0.405, 0.405, 0.415000000000002, 0.0173205080756933, 4.17361640378149, 0.414999999999999, 0.385000000000002, 0.385000000000002, 0.395000000000001, 0.0173205080756869, 4.38493875333844, 4.59770114942725, 4.93827160493773, 4.93827160493773, 4.82474811976757, , 4, 0.34, 0.34, 0.34, 1.36, 0, 0.307484699747961, 
12698, 153377, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-28 08:00:00, 1899-12-31 08:00:00, 902.000000000058, 37.5833333333358, 37.5833333333358, POND6, 24.1, 7.84, 0.5, 25.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, 0.2, 0.2, 0.2, 0.8, 4.24918736097037e-15, -0.22314355131421, 
12699, 153378, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-28 14:30:00, 1899-12-31 14:30:00, 908.499999999942, 37.8541666666642, 37.8541666666642, POND5, 24.5, 8, 0.5, 33.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12695, 153374, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-27 15:30:00, 1899-12-31 15:30:00, 885.500000000058, 36.8958333333358, 36.8958333333358, POND5, 24.8, 8.01, 0.5, 33.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12696, 153375, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-27 15:30:00, 1899-12-31 15:30:00, 885.500000000058, 36.8958333333358, 36.8958333333358, POND6, 24.8, 7.98, 0.5, 33.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12697, 153376, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-28 08:00:00, 1899-12-31 08:00:00, 902.000000000058, 37.5833333333358, 37.5833333333358, POND5, 34, 8, 0.5, 25.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, 0.315, 0.315, 0.315, 1.26, 0, 0.231111720963387, 
12694, 153373, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-27 08:00:00, 1899-12-31 08:00:00, 878.000000000058, 36.5833333333358, 36.5833333333358, POND6, 23.9, 7.95, 0.5, 24.1, 123, , , 123, , , , , , , , , , , , FA 8/27 P6, , 957, S2, 2A, Z9, 30, 28, 31, 1.4174, 1.5414, 1.4121, 1.4242, 1.5475, 1.419, 1.4177, 1.5418, 1.4126, 0.00679999999999992, 0.00609999999999999, 0.00690000000000013, 0.000299999999999967, 0.000399999999999956, 0.000500000000000167, 0.226666666666664, 0.203333333333333, 0.230000000000004, 0.22, 0.0145296631451365, 6.6043923386984, 0.216666666666665, 0.190000000000001, 0.213333333333332, 0.206666666666666, 0.014529663145134, 7.03048216700033, 4.41176470588192, 6.55737704917961, 7.24637681159649, 6.07183952221934, , 4, 0.165, 0.165, 0.165, 0.66, 0, -0.415515443961666, 
12692, 153371, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-26 14:30:00, 1899-12-31 14:30:00, 860.499999999942, 35.8541666666642, 35.8541666666642, POND6, 24.7, 8.01, 0.5, 32.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12693, 153372, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-27 08:00:00, 1899-12-31 08:00:00, 878.000000000058, 36.5833333333358, 36.5833333333358, POND5, 24, 8, 0.5, 24.1, 158, , , 158, , , , , , , , , , , , FA 8/27 P5, , 956, 8A, X6, O19, 20, 20, 20, 1.5411, 1.4218, 1.4296, 1.5486, 1.4289, 1.4367, 1.5415, 1.422, 1.4298, 0.00750000000000006, 0.00710000000000011, 0.00710000000000011, 0.000400000000000178, 0.000199999999999978, 0.000199999999999978, 0.375000000000003, 0.355000000000005, 0.355000000000005, 0.361666666666671, 0.0115470053837912, 3.19272038261505, 0.354999999999994, 0.345000000000006, 0.345000000000006, 0.348333333333336, 0.00577350269188921, 1.65746488762369, 5.33333333333566, 2.81690140845035, 2.81690140845035, 3.65571205007879, , 4, 0.275, 0.274, 0.275, , , , 
12690, 153369, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-26 08:00:00, 1899-12-31 08:00:00, 854.000000000058, 35.5833333333358, 35.5833333333358, POND6, 24.3, 8, 0.5, 25.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, 0.123, 0.123, 0.123, 0.492, 0, -0.709276562489829, 
12691, 153370, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-26 14:30:00, 1899-12-31 14:30:00, 860.499999999942, 35.8541666666642, 35.8541666666642, POND5, 24.6, 8.01, 0.5, 32.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12687, 153366, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-25 17:00:00, 1899-12-31 17:00:00, 839.000000000058, 34.9583333333358, 34.9583333333358, POND5, 24.4, 7.9, 0.5, 31.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12688, 153367, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-25 17:00:00, 1899-12-31 17:00:00, 839.000000000058, 34.9583333333358, 34.9583333333358, POND6, 24.4, 8, 0.5, 31.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12689, 153368, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-26 08:00:00, 1899-12-31 08:00:00, 854.000000000058, 35.5833333333358, 35.5833333333358, POND5, 24.3, 7.97, 0.5, 25.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, 0.24, 0.239, 0.239, 0.957333333333333, 0.0603081757510055, -0.043603637482132, 
12686, 153365, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-25 08:00:00, 1899-12-31 08:00:00, 830.000000000058, 34.5833333333358, 34.5833333333358, POND6, 23.3, 8.91, 0.5, 27.1, 85, , , 85, , , , , , , , , , , , , , , C3, 19A, 1A, 47, 49, 49, 1.4426, 1.5392, 1.5377, 1.4483, 1.5455, 1.5439, 1.443, 1.5397, 1.5382, 0.00569999999999982, 0.00630000000000019, 0.00619999999999998, 0.000399999999999956, 0.000500000000000167, 0.000499999999999945, 0.121276595744677, 0.134042553191493, 0.131914893617021, 0.129078014184397, 0.00683946862482135, 5.29870920933962, 0.112765957446806, 0.12340425531915, 0.121276595744682, 0.119148936170212, 0.00562925810865013, 4.72455591261709, 7.01754385964858, 7.93650793651034, 8.06451612903139, 7.67285597506344, , 2, 0.166, 0.165, 0.165, 0.330666666666667, 0.174601895924282, -1.10664446036537, 
12685, 153364, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-25 08:00:00, 1899-12-31 08:00:00, 830.000000000058, 34.5833333333358, 34.5833333333358, POND5, 23.5, 7.98, 0.5, 27.1, 92, , , 92, , , , , , , , , , , , , , , A80, 14.0, O15, 34.5, 28.5, 30, 1.5471, 1.4181, 1.4251, 1.5562, 1.4257, 1.4328, 1.5474, 1.4185, 1.4255, 0.00910000000000011, 0.00760000000000005, 0.00770000000000004, 0.000300000000000189, 0.000400000000000178, 0.000399999999999956, 0.263768115942032, 0.220289855072465, 0.223188405797103, 0.235748792270533, 0.0243086871988593, 10.3112669060734, 0.255072463768114, 0.208695652173909, 0.211594202898553, 0.225120772946859, 0.0259793809850209, 11.5401971328312, 3.29670329670533, 5.26315789473915, 5.19480519480459, 4.58488879541636, , 4, 0.201, 0.2, 0.2, 0.801333333333333, 0.0720487024779068, -0.221478271995149, 
12684, 153363, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-22 14:00:00, 1899-12-31 14:00:00, 764.000000000058, 31.8333333333358, 31.8333333333358, POND6, 25, 8.05, 0.4, 33.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12683, 153362, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-22 14:00:00, 1899-12-31 14:00:00, 764.000000000058, 31.8333333333358, 31.8333333333358, POND5, 24.5, 8.02, 0.4, 33.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12682, 153361, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-22 08:00:00, 1899-12-31 08:00:00, 758.000000000058, 31.5833333333358, 31.5833333333358, POND6, 24, 7.76, 0.4, 26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, 0.075, 0.074, 0.075, 0.0746666666666667, 0.773236967664678, -2.59472151579521, 
12681, 153360, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-22 08:00:00, 1899-12-31 08:00:00, 758.000000000058, 31.5833333333358, 31.5833333333358, POND5, 24.1, 7.94, 0.4, 25.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, 0.098, 0.098, 0.097, 0.0976666666666667, 0.591143620330675, -2.32619495863318, 
12680, 153359, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-21 14:00:00, 1899-12-31 14:00:00, 740.000000000058, 30.8333333333358, 30.8333333333358, POND6, 24.9, 7.1, 0.4, 34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12679, 153358, 10, 2015-02-04 00:00:00, Ed Wolfrum, UFSSummer2014, FA, LRB-AZ-1201, , 1201_07212014_FA, 2014-08-21 14:00:00, 1899-12-31 14:00:00, 740.000000000058, 30.8333333333358, 30.8333333333358, POND5, 24.9, 8.01, 0.4, 34.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
